Episode,Run 1,Run 2,Run 3
1,20,14,14
2,13,14,26
3,24,43,92
4,19,16,22
5,49,13,26
6,11,30,19
7,17,29,20
8,27,27,24
9,20,27,20
10,15,14,13
11,49,44,19
12,56,37,16
13,16,17,31
14,14,28,19
15,16,13,14
16,21,12,15
17,26,15,15
18,37,12,13
19,32,39,42
20,19,32,15
21,23,11,42
22,19,13,14
23,14,18,19
24,30,19,35
25,25,61,11
26,48,30,13
27,22,21,29
28,20,14,22
29,33,12,20
30,34,18,24
31,46,21,16
32,30,37,32
33,16,31,21
34,15,18,9
35,83,22,21
36,27,25,26
37,19,11,14
38,27,23,9
39,21,11,30
40,39,12,20
41,14,17,18
42,20,15,89
43,48,18,25
44,15,13,16
45,26,13,18
46,12,14,27
47,23,25,58
48,15,18,21
49,22,23,9
50,30,28,21
51,21,30,11
52,37,8,17
53,14,23,13
54,20,17,21
55,20,19,32
56,16,16,18
57,21,16,13
58,14,13,19
59,23,54,13
60,14,10,15
61,17,21,21
62,9,25,24
63,11,10,25
64,26,25,42
65,21,39,43
66,11,19,14
67,14,23,46
68,24,24,41
69,12,41,33
70,10,11,29
71,16,15,23
72,14,20,12
73,30,13,16
74,13,14,14
75,10,14,30
76,21,16,40
77,19,13,14
78,17,20,17
79,16,30,22
80,50,11,20
81,20,27,22
82,15,34,15
83,29,28,17
84,31,8,19
85,21,12,16
86,15,23,42
87,15,22,13
88,34,47,18
89,12,24,21
90,17,15,19
91,15,20,13
92,22,24,12
93,12,15,23
94,22,29,9
95,14,19,11
96,48,19,24
97,34,17,16
98,17,18,19
99,11,22,19
100,15,21,32
101,71,67,30
102,52,62,31
103,38,47,27
104,55,34,28
105,60,42,28
106,35,28,15
107,71,39,14
108,38,63,36
109,88,47,31
110,54,46,30
111,41,28,35
112,46,50,18
113,43,45,38
114,46,72,39
115,38,43,27
116,80,51,36
117,74,36,22
118,61,22,69
119,16,49,49
120,50,67,51
121,60,52,34
122,62,53,49
123,93,36,35
124,38,33,32
125,36,33,35
126,61,42,36
127,22,63,23
128,34,58,32
129,58,39,34
130,58,44,38
131,50,38,25
132,53,49,33
133,70,68,16
134,29,40,34
135,52,29,36
136,36,72,20
137,53,14,41
138,48,26,28
139,27,90,42
140,61,92,29
141,32,86,38
142,33,40,52
143,50,75,30
144,44,47,40
145,64,61,35
146,28,24,40
147,38,76,37
148,44,34,37
149,51,10,35
150,44,53,19
151,42,19,33
152,47,52,66
153,34,14,43
154,35,81,45
155,39,26,32
156,28,70,38
157,43,15,51
158,20,108,34
159,70,64,26
160,64,47,24
161,88,12,33
162,41,47,26
163,38,37,29
164,64,41,16
165,38,44,39
166,21,29,30
167,50,31,16
168,69,54,37
169,54,35,46
170,56,38,25
171,49,35,39
172,16,42,24
173,59,44,36
174,64,89,14
175,67,33,28
176,122,112,38
177,25,57,28
178,22,39,90
179,44,43,38
180,70,45,37
181,40,41,39
182,35,32,37
183,47,25,73
184,14,44,13
185,69,46,16
186,31,95,31
187,29,146,41
188,17,10,38
189,26,52,16
190,67,40,31
191,46,108,71
192,33,31,45
193,67,91,35
194,75,32,37
195,68,69,33
196,57,40,31
197,56,17,27
198,52,44,45
199,37,90,44
200,83,69,38
201,83,12,70
202,61,13,45
203,77,100,39
204,45,65,17
205,42,23,16
206,55,17,28
207,30,35,34
208,41,95,37
209,85,38,38
210,76,68,33
