,1,37,42,,
0,-216.9404229,-263.8947926,-125.2874696,-202.040895,70.49464125
1,-175.2780506,-276.9268484,-75.76020161,-175.9883669,
2,-207.540628,-292.2516809,-83.67407299,,
3,-184.2174618,-249.6066284,-85.62946242,,
4,-189.0320429,-222.2541656,-94.64153342,,
5,-212.4529862,-204.2613717,-99.07220711,,
6,-247.8937486,-186.5935692,-124.048105,,
7,-264.9422417,-180.3054947,-123.1721214,,
8,-253.9463882,-182.282628,-127.7713684,,
9,-248.7310372,-185.7889074,-134.3260085,,
10,-249.3494692,-210.0546139,-134.8499765,,
11,-257.0476542,-217.5934878,-135.9686424,,
12,-245.9846944,-227.3951275,-147.7419191,,
13,-241.2881192,-211.8297762,-155.4298777,,
14,-243.7969891,-208.2796488,-157.0066063,,
15,-261.9121227,-221.9042761,-167.4422653,,
16,-256.5918839,-220.6106838,-179.0779895,,
17,-245.4421924,-212.5947027,-191.3917092,,
18,-242.3720835,-203.2427468,-199.0905306,,
19,-236.9132534,-198.8102177,-203.5491248,,
20,-229.049466,-202.619471,-202.6594916,,
21,-234.169446,-212.3560334,-199.7763899,,
22,-234.7584164,-213.5275973,-194.643589,,
23,-224.5442542,-212.296293,-204.6608,,
24,-233.9422463,-206.622219,-202.2411275,,
25,-235.3001302,-201.7498918,-204.0709115,,
26,-239.7277631,-198.9550057,-199.39372,,
27,-245.9386948,-198.7552676,-196.0575,,
28,-254.2201065,-210.4674997,-200.7805676,,
29,-253.0323634,-211.2231262,-210.1414421,,
30,-256.590225,-212.4091834,-213.2516902,,
31,-254.0516508,-210.9096237,-212.817183,,
32,-257.8659638,-219.2921284,-216.0745329,,
33,-255.1344979,-225.9515999,-210.7457193,,
34,-264.9910361,-227.9786621,-211.1494368,,
35,-264.7835039,-226.3915224,-216.5403665,,
36,-266.4610844,-223.3144244,-215.4193914,,
37,-266.8889468,-221.0191294,-220.1866503,,
38,-270.3960764,-226.3259797,-221.4464011,,
39,-266.8129752,-223.1904966,-224.5561319,,
40,-272.3545932,-220.9211153,-232.2184062,,
41,-272.4790111,-216.8423563,-232.5062121,,
42,-275.2521903,-219.8557667,-230.8931643,,
43,-272.5204476,-220.4032652,-236.6561691,,
44,-279.037486,-223.9034528,-242.2608825,,
45,-281.644663,-229.1844585,-238.6898022,,
46,-288.2632639,-227.9567021,-240.2706945,,
47,-288.3150832,-228.7486545,-246.924382,,
48,-283.0804895,-232.1956828,-246.7251654,,
49,-278.9444383,-234.7730493,-249.813327,,
50,-276.8276611,-234.32526,-251.0248531,,
51,-273.0547653,-233.6849995,-255.7699172,,
52,-273.9423313,-232.158176,-256.6230419,,
53,-279.9472858,-235.1968284,-255.9877311,,
54,-282.8029531,-235.4212287,-255.5394545,,
55,-289.239768,-234.6961412,-252.7341935,,
56,-288.8413128,-236.530277,-250.3906615,,
57,-294.3281556,-237.0017847,-248.5301762,,
58,-289.2779225,-241.512116,-244.9583386,,
59,-285.5920549,-243.1668849,-245.4417078,,
60,-284.0745733,-245.7976412,-246.5436376,,
61,-285.5189322,-249.3115352,-244.815543,,
62,-281.9179934,-245.1407869,-244.1054353,,
63,-278.567659,-248.4033362,-242.2599775,,
64,-276.3539922,-249.4514589,-245.6049818,,
65,-274.3609264,-249.1473781,-244.2838357,,
66,-273.734988,-247.2452235,-245.6491705,,
67,-275.9106905,-245.4308444,-247.579178,,
68,-276.9352578,-244.8078368,-247.2314981,,
69,-279.9813801,-247.7656527,-249.9693722,,
70,-280.7783291,-246.9855147,-252.8939619,,
71,-276.6400949,-249.6935765,-255.1007174,,
72,-277.4792633,-252.1571592,-257.815386,,
73,-278.6263561,-254.2853059,-259.5693201,,
74,-283.5340628,-257.332527,-262.6977354,,
75,-282.4221384,-260.3390381,-262.3605284,,
76,-285.6051625,-259.0387086,-261.254422,,
77,-286.8782664,-260.1032622,-262.1084265,,
78,-287.6695009,-264.4874487,-261.7536667,,
79,-286.7030714,-266.5685132,-262.0752685,,
80,-283.9891393,-267.0084055,-264.5136186,,
81,-285.3725655,-270.1689465,-267.2444823,,
82,-282.6958156,-270.6074192,-268.6295328,,
83,-282.3610453,-272.1218749,-269.0243003,,
84,-281.5676199,-272.8137646,-270.0766871,,
85,-283.8437446,-276.2498037,-268.0741318,,
86,-284.6496905,-279.4594499,-271.9495732,,
87,-285.5327925,-282.531247,-270.4292065,,
88,-287.0616913,-285.5160947,-269.7556498,,
89,-288.8110464,-281.9788524,-270.4305952,,
90,-289.7314366,-282.2761715,-272.7836249,,
91,-289.1090952,-281.5247128,-272.8619847,,
92,-290.1454106,-281.2742337,-274.3300283,,
93,-291.7296812,-283.1161849,-274.6377822,,
94,-291.0273568,-285.2242504,-276.296161,,
95,-292.7470243,-286.5076165,-278.7563639,,
96,-293.3256756,-289.7688514,-277.9454934,,
97,-293.4782623,-291.8178217,-277.1394747,,
98,-295.6591004,-292.442729,-277.8913409,,
99,-296.661318,-293.6936724,-277.2351347,,
100,-297.4026525,-293.855814,-276.6452726,,
101,-299.5094996,-295.3015182,-280.3755399,,
102,-300.2225054,-297.1006169,-280.6413392,,
103,-299.4215338,-298.8162384,-281.1906491,,
104,-299.518021,-303.650868,-285.6221983,,
105,-297.068512,-304.2893095,-285.3248898,,
106,-297.6189963,-308.2212593,-287.9660576,,
107,-297.4738379,-312.5970562,-287.9094424,,
108,-296.6979015,-314.7079935,-289.3238185,,
109,-295.7750382,-314.4543969,-292.5123757,,
110,-297.8002025,-313.1192377,-292.6858505,,
111,-298.6933346,-313.2519149,-296.832578,,
112,-300.1420825,-312.8626144,-296.0953808,,
113,-301.2563431,-316.4355044,-298.0934737,,
114,-302.6339859,-316.8207511,-302.2999484,,
115,-299.1591718,-312.8447961,-303.414376,,
116,-303.4519153,-314.5857296,-303.773033,,
117,-305.6894386,-316.7738971,-303.4093626,,
118,-308.9608745,-320.5162161,-304.7323048,,
119,-310.6319485,-323.502215,-305.3383146,,
120,-316.6917731,-324.1837365,-306.9862668,,
121,-317.2620042,-326.0255727,-309.8536411,,
122,-318.7746361,-325.1290695,-313.8134038,,
123,-321.7631301,-325.9701766,-314.9634642,,
124,-319.5590491,-328.3888079,-318.5379106,,
125,-320.1961224,-332.9334465,-321.4451717,,
126,-321.6645977,-335.268588,-324.3394741,,
127,-321.9905051,-337.5892935,-329.6409465,,
128,-319.9906745,-336.205875,-331.1829672,,
129,-321.6718701,-337.2077489,-329.928384,,
130,-321.1363323,-338.9195377,-332.2610238,,
131,-323.0640866,-340.9824856,-333.50584,,
132,-321.794519,-340.5605148,-334.3740441,,
133,-324.6588037,-339.7739594,-337.3933834,,
134,-322.0522866,-344.9888474,-338.9023384,,
135,-324.0519976,-351.5890283,-339.0495217,,
136,-325.2671516,-356.532488,-338.3462119,,
137,-326.4001657,-357.7759157,-337.5237357,,
138,-325.4858758,-357.8010589,-337.4903276,,
139,-329.7520354,-361.727818,-339.116953,,
140,-329.5639645,-364.9074446,-337.3657813,,
141,-329.7204329,-368.1276086,-336.2928627,,
142,-331.5964017,-367.9911979,-340.8471467,,
143,-335.2994101,-369.3793239,-342.5831234,,
144,-333.0198064,-368.5297115,-341.6027178,,
145,-334.7415574,-368.38872,-346.9133222,,
146,-331.8876576,-372.7826993,-345.5492343,,
147,-332.6519735,-375.3563494,-342.5877036,,
148,-336.2098021,-374.1344932,-341.1913207,,
149,-339.5149254,-373.4343288,-349.8697519,,
150,-343.3545623,-374.4317132,-347.85844,,
151,-346.0677198,-377.9785354,-344.1951072,,
152,-345.136422,-380.9554965,-342.7775981,,
153,-344.3072588,-381.0408185,-342.2533964,,
154,-342.663168,-381.4734768,-341.2051595,,
155,-341.0962947,-389.0549937,-341.8762714,,
156,-343.3632022,-388.4329814,-341.6439721,,
157,-343.7441281,-390.6177053,-341.9596076,,
158,-346.5229748,-389.9455752,-343.0374821,,
159,-348.242982,-391.0034898,-342.2073892,,
160,-351.6637367,-390.9177566,-340.889852,,
161,-349.8713047,-390.3892632,-342.5415801,,
162,-349.686627,-394.713029,-344.2244612,,
163,-353.8976724,-394.7066325,-348.2686407,,
164,-355.9271126,-396.8353466,-350.746961,,
165,-357.4531384,-399.0157217,-351.7713293,,
166,-360.3645667,-401.7401595,-354.750679,,
167,-358.2453399,-405.9282234,-351.8020693,,
168,-358.8443131,-406.7916347,-352.7911082,,
169,-359.5360493,-408.1030579,-356.4679451,,
170,-361.5544845,-413.0333034,-355.1492501,,
171,-363.2088431,-412.8930913,-352.6242682,,
172,-361.5988362,-414.037175,-350.1490461,,
173,-359.1779056,-413.1115364,-349.595345,,
174,-353.4059781,-411.1241107,-351.2246747,,
175,-352.9555975,-413.0260073,-350.3700427,,
176,-348.7569107,-417.4663139,-352.4043349,,
177,-350.0267501,-419.287804,-353.0378153,,
178,-347.8763766,-415.9394513,-354.1541251,,
179,-349.5533729,-418.3969813,-352.4084076,,
180,-354.1986002,-421.9884587,-349.8859517,,
181,-357.7112523,-421.3482322,-348.0385089,,
182,-360.6616501,-421.4024754,-347.9955588,,
183,-361.4866166,-424.728794,-349.5194553,,
184,-363.070214,-425.5162693,-346.9017033,,
185,-362.0628412,-424.3078076,-348.5289252,,
186,-364.0178652,-424.065443,-345.9172889,,
187,-366.6258955,-421.9701484,-350.1913132,,
188,-366.1565187,-420.4793193,-350.4663322,,
189,-368.2528252,-424.212576,-348.7952661,,
190,-368.0429668,-427.1297654,-350.2519973,,
191,-367.8527655,-427.2854618,-353.2792889,,
192,-368.1472307,-428.227853,-350.9569561,,
193,-369.3976173,-428.654221,-349.2399725,,
194,-372.3565324,-426.7583697,-345.1195486,,
195,-372.1472697,-427.019191,-341.4263222,,
196,-374.966136,-425.8153923,-342.3409242,,
197,-376.9642519,-424.6434335,-342.5590084,,
198,-374.6109471,-426.0194711,-340.6525091,,
199,-376.0687085,-426.2347511,-342.1090192,,
200,-376.467561,-429.6508068,-342.5905096,,
201,-378.7937263,-428.4495686,-342.3990654,,
202,-377.9468329,-429.2342091,-343.5644566,,
203,-385.091819,-429.7548309,-344.4095482,,
204,-387.8478151,-428.4858349,-342.8665325,,
205,-392.5302084,-432.4365819,-346.4776338,,
206,-390.732704,-432.8223483,-347.0084935,,
207,-397.8567874,-429.3890719,-349.3203249,,
208,-399.6102056,-429.6876708,-347.4021675,,
209,-399.8868351,-433.15788,-343.6161561,,
210,-396.3705837,-437.5426615,-345.5665053,,
211,-396.0992249,-438.1899337,-342.3524324,,
212,-396.5383709,-437.5954822,-343.398646,,
213,-394.9021739,-436.1331398,-345.1450943,,
214,-394.4832577,-439.3322398,-343.6157151,,
215,-395.0146587,-444.5990444,-345.2852968,,
216,-392.2748588,-445.0127389,-347.4797078,,
217,-394.2433151,-444.9698038,-348.6765492,,
218,-394.5997932,-444.5188207,-351.7985577,,
219,-395.7487304,-442.5825342,-354.559668,,
220,-392.4989583,-444.8487892,-356.7510843,,
221,-395.1507695,-441.9479271,-357.6312966,,
222,-396.9398542,-444.0778333,-356.5989103,,
223,-396.755571,-444.3520351,-355.2059831,,
224,-400.3094358,-445.2559294,-355.453166,,
225,-403.2573451,-445.1631214,-355.8910009,,
226,-401.4881377,-443.7767254,-356.3375942,,
227,-403.9584412,-442.603292,-355.5716546,,
228,-407.1496896,-440.5016655,-355.8526593,,
229,-407.4107911,-439.919295,-355.8929853,,
230,-416.2677488,-439.6052316,-355.0632734,,
231,-416.799475,-438.1611903,-356.6292143,,
232,-420.4733774,-438.747448,-357.1440247,,
233,-420.2710856,-439.9665452,-360.2707968,,
234,-420.5484803,-436.9657778,-360.4800502,,
235,-421.0706265,-431.3623722,-359.8391051,,
236,-422.0631374,-430.7541454,-360.9764185,,
237,-423.1073413,-432.6620936,-367.1396415,,
238,-423.4550962,-431.6014571,-368.9529174,,
239,-423.0877993,-429.5511441,-372.4606141,,
240,-422.6284194,-431.9208526,-372.9021622,,
241,-422.3230211,-435.1749877,-374.9108875,,
242,-422.7422814,-436.6997376,-373.9810783,,
243,-418.5663078,-440.1659201,-371.1310629,,
244,-421.5954167,-439.5213696,-370.2744959,,
245,-419.4796477,-440.4070849,-367.819375,,
246,-422.0298668,-442.5072336,-369.6870137,,
247,-421.8133674,-444.3363557,-374.8798262,,
248,-422.9963845,-451.2626604,-378.2417813,,
249,-423.2705361,-453.446143,-370.712142,,
250,-422.8186365,-462.0285553,-374.5734113,,
251,-423.5837046,-459.9821222,-377.2534971,,
252,-426.9604881,-458.5039988,-379.2943449,,
253,-425.6118264,-459.5363048,-380.2615634,,
254,-427.8078736,-462.2800692,-384.0664946,,
255,-428.1843561,-458.4939384,-391.2704798,,
256,-427.6596593,-460.9086393,-394.7758897,,
257,-427.3015992,-458.521698,-397.9490361,,
258,-429.8347992,-456.7823456,-402.8791907,,
259,-433.3757798,-455.6746538,-402.0801856,,
260,-432.6158563,-453.3972001,-407.4468251,,
261,-436.4644676,-455.1878282,-405.5491007,,
262,-439.957929,-458.458903,-405.9935649,,
263,-442.1853842,-457.5154187,-406.0171453,,
264,-441.4995612,-457.1817238,-401.608498,,
265,-445.9319175,-457.7205818,-403.6042129,,
266,-442.281395,-456.2430612,-401.2690825,,
267,-444.7597989,-457.7922,-405.2908806,,
268,-445.936798,-459.5360298,-409.1230909,,
269,-446.0886591,-459.8003898,-406.6949197,,
270,-442.2665328,-456.4637627,-411.0287703,,
271,-444.6301332,-458.0152442,-414.4101555,,
272,-450.6027652,-458.9277048,-414.5992527,,
273,-455.1745541,-461.1691579,-415.1343928,,
274,-461.3104896,-464.830309,-413.9945636,,
275,-466.239307,-462.9422409,-418.3481162,,
276,-468.6066632,-460.2277558,-417.1665481,,
277,-465.2287674,-456.9956578,-419.7035923,,
278,-467.347587,-455.2639046,-419.6036379,,
279,-465.5922257,-449.683037,-422.5439177,,
280,-461.3599596,-444.2664741,-427.3740631,,
281,-459.8860781,-441.116009,-429.4052754,,
282,-458.8859988,-438.8901169,-428.3456405,,
283,-463.0798945,-433.4881297,-428.8179704,,
284,-463.1122002,-430.8590807,-432.0244075,,
285,-463.4107941,-427.5975935,-432.8198088,,
286,-460.2931213,-423.3028385,-432.2835042,,
287,-455.1379624,-421.5275435,-426.5171771,,
288,-456.2492474,-420.4344902,-429.7681594,,
289,-453.4128692,-418.2148552,-434.3400554,,
290,-455.1752481,-413.6859636,-431.8066204,,
291,-455.5704463,-412.6613158,-430.1961319,,
292,-454.1190474,-410.7847592,-434.0843493,,
293,-449.8762372,-407.2677049,-438.0541551,,
294,-447.3607113,-405.7643128,-441.0222184,,
295,-443.9267494,-402.5382112,-445.1809028,,
296,-442.1464945,-400.1074545,-450.7041916,,
297,-439.3057268,-397.3781687,-452.8605151,,
298,-441.5706666,-393.3050796,-454.4989176,,
299,-441.0277358,-390.0928543,-455.9706504,,
300,-439.0492078,-385.0186981,-458.7400811,,
301,-434.9380968,-382.8826915,-463.5206839,,
302,-435.7586296,-378.1858509,-468.6338597,,
303,-431.0969416,-376.0877645,-474.1349931,,
304,-426.2924572,-375.6482584,-474.515043,,
305,-424.5570636,-371.2692732,-472.1180902,,
306,-427.6126676,-369.6944118,-469.4537733,,
307,-419.7596997,-373.0883936,-472.7421932,,
308,-419.7527152,-373.6965703,-476.9492127,,
309,-422.5321796,-375.404571,-483.6709948,,
310,-425.9029906,-370.556794,-488.7896743,,
311,-426.6037706,-371.0654923,-495.0567156,,
312,-425.00336,-374.0053223,-496.4355543,,
313,-425.0556012,-377.2481638,-495.4947647,,
314,-422.639156,-376.4476464,-498.3682535,,
315,-422.2394882,-378.5454987,-498.0222864,,
316,-424.3371877,-381.0763183,-496.0589825,,
317,-421.0366345,-382.3248811,-496.1436184,,
318,-416.539661,-383.6514527,-492.4752363,,
319,-414.272763,-384.1130036,-491.5227603,,
320,-416.0297586,-384.9531301,-493.6910439,,
321,-415.1021307,-384.6547181,-496.8898444,,
322,-413.9440741,-384.4461582,-498.1295461,,
323,-416.6853434,-389.0088287,-499.4175631,,
324,-411.4403016,-390.1822701,-500.7335714,,
325,-405.120922,-388.5641317,-497.4814183,,
326,-403.1265526,-393.4012885,-498.8415697,,
327,-397.5248966,-392.2367944,-498.2702952,,
328,-396.5229755,-392.4884568,-496.8252007,,
329,-397.1078007,-394.6677838,-500.2761516,,
330,-386.1038513,-395.5026955,-501.5539057,,
331,-384.5482878,-395.3511248,-500.8706507,,
332,-380.1511153,-395.5735044,-500.1964352,,
333,-381.1252465,-394.7747962,-497.8256931,,
334,-381.8160573,-391.904734,-498.09117,,
335,-379.220218,-396.5224051,-500.1551482,,
336,-375.895506,-396.8113941,-503.0176447,,
337,-372.0600106,-399.5014797,-497.8426106,,
338,-369.8275203,-400.9787787,-498.6399863,,
339,-365.9044472,-402.5900447,-497.7138724,,
340,-363.5811168,-398.3125275,-499.4970047,,
341,-365.3563459,-396.2368533,-501.2825842,,
342,-364.6115321,-393.7375925,-500.9502717,,
343,-368.09105,-391.0623458,-500.4517693,,
344,-366.3490903,-394.0285838,-501.6712914,,
345,-364.551758,-393.8793949,-501.484191,,
346,-360.5234467,-392.6067588,-503.3564131,,
347,-358.8465714,-388.3663364,-501.8894456,,
348,-355.2833297,-384.9592161,-503.3456908,,
349,-352.3509511,-385.3138017,-504.022091,,
350,-348.5697894,-380.6343051,-505.3063595,,
351,-345.9790652,-385.1895716,-506.2881754,,
352,-344.1000256,-386.4609387,-507.233871,,
353,-342.1674425,-386.515186,-511.6537561,,
354,-338.4823234,-386.3536356,-512.5777081,,
355,-334.4988188,-385.7399287,-511.3732445,,
356,-331.4749471,-385.2299304,-510.9374462,,
357,-326.6242931,-386.6606905,-511.7512677,,
358,-322.782124,-389.8621435,-510.1656961,,
359,-318.7567377,-394.0981778,-511.855964,,
360,-316.467386,-397.4463401,-509.9792885,,
361,-311.9374757,-398.0729227,-515.6979877,,
362,-309.598722,-395.3684921,-514.5130049,,
363,-303.5821341,-399.039584,-516.1002198,,
364,-307.891051,-399.1794716,-517.6311799,,
365,-306.9238126,-398.7290665,-518.3030607,,
366,-312.6774091,-400.959336,-522.1426903,,
367,-316.633237,-399.5807223,-520.8250544,,
368,-314.8556558,-398.6090495,-518.4200064,,
369,-314.9044668,-398.7729101,-518.8730847,,
370,-317.6518866,-401.4025036,-520.9952466,,
371,-319.7711422,-402.8182258,-520.2273986,,
372,-316.7972755,-404.8073837,-523.0166607,,
373,-315.8130784,-402.4308479,-526.5875877,,
374,-313.8840003,-400.8852089,-526.9940492,,
375,-314.9826062,-397.5109957,-528.3668222,,
376,-314.5425224,-394.3868277,-533.6158407,,
377,-316.7893295,-394.0375562,-534.3383811,,
378,-318.9436309,-400.4003304,-533.8672474,,
379,-320.8338316,-403.9910361,-537.2962935,,
380,-326.0462274,-405.1471189,-535.2580445,,
381,-325.6684737,-406.0471307,-535.0446532,,
382,-327.7562215,-409.2543757,-540.4919203,,
383,-324.6867593,-414.7983764,-538.9636858,,
384,-326.9744938,-420.865172,-541.2388976,,
385,-330.4914165,-426.6656955,-542.8806273,,
386,-334.0758276,-430.8567335,-546.5596712,,
387,-337.2950874,-433.5750468,-553.0321552,,
388,-336.6808986,-435.9301843,-553.5404783,,
389,-337.4684751,-438.3660267,-552.4454897,,
390,-335.4567584,-439.7975494,-552.9155478,,
391,-337.356731,-440.057822,-556.3125647,,
392,-339.5462808,-443.3392355,-556.5708575,,
393,-342.8970114,-446.6287148,-559.6431455,,
394,-346.9922233,-453.6824988,-560.0574381,,
395,-348.1677108,-463.6580893,-558.5094245,,
396,-349.1760483,-466.7710922,-555.2019551,,
397,-351.3427732,-473.7277457,-555.8298727,,
398,-349.6899753,-476.3806578,-558.4812949,,
399,-349.9414696,-477.2913849,-556.3750441,,
400,-357.5692483,-478.2776028,-560.1497638,,
401,-360.6374415,-478.6370433,-555.4890228,,
402,-362.7714051,-479.0160142,-555.7510649,,
403,-362.3045369,-479.170752,-555.6557206,,
404,-370.1195473,-476.375483,-556.0315151,,
405,-369.7567048,-476.1301298,-558.5547087,,
406,-367.3560356,-474.6069983,-562.7707036,,
407,-369.3381293,-470.2341641,-559.9260173,,
408,-370.6592169,-466.3879418,-559.2179938,,
