,Seed 1,Seed 37,Seed 42
0,-437.9912817,-179.1038996,-135.6164776
1,-328.9626582,-236.2903302,-128.2683032
2,-290.9905397,-230.3079065,-140.1180803
3,-262.4089504,-211.4385647,-138.5700214
4,-264.901175,-186.2445358,-135.5556545
5,-238.405089,-210.2974602,-124.6921943
6,-198.4374999,-214.0336787,-153.2598808
7,-213.2445394,-200.9402651,-144.5932827
8,-189.8253199,-206.4123695,-139.8107263
9,-208.4178397,-192.8928077,-158.8396812
10,-215.5152624,-194.6712544,-151.6618141
11,-228.9467423,-208.7677864,-150.91875
12,-234.8334955,-202.262853,-145.5168691
13,-240.0380813,-210.1190999,-145.4085727
14,-248.9977116,-208.3474136,-146.9893887
15,-258.0597488,-203.3972525,-161.1188394
16,-258.7828776,-207.5413201,-160.2593059
17,-259.7532236,-208.52444,-170.1209608
18,-263.4735185,-207.993091,-165.5713227
19,-270.4937056,-206.1576598,-171.7717897
20,-284.702707,-208.7250119,-170.3284774
21,-291.3848273,-201.9256458,-175.3763325
22,-291.3098049,-203.4990492,-183.5172764
23,-281.3928028,-196.5065706,-179.4034114
24,-284.5483719,-205.7235808,-176.2119005
25,-285.6881225,-205.9043873,-173.651849
26,-283.0467527,-203.3947697,-172.0912703
27,-282.5187012,-196.5455494,-170.6302569
28,-288.5925654,-193.9974906,-166.7068162
29,-283.3604701,-198.706655,-170.6413894
30,-278.200224,-199.3286846,-169.0294559
31,-277.2352308,-195.6818804,-173.4945834
32,-280.6487051,-192.281327,-179.2547672
33,-286.9437113,-190.763048,-178.0965631
34,-288.8708367,-193.9095446,-181.2007846
35,-283.1339127,-192.2913668,-186.1801229
36,-279.8618063,-195.6461814,-189.810792
37,-281.7265054,-196.5115562,-193.5293663
38,-283.685129,-203.4021252,-196.0856552
39,-288.7573331,-212.6243695,-196.8471847
40,-288.0955873,-209.656787,-202.2583065
41,-284.2820183,-210.7653518,-205.452473
42,-286.9947369,-206.6931451,-202.6491608
43,-289.4358023,-209.6472032,-203.7488741
44,-283.2454928,-209.8038852,-208.6453071
45,-279.2670529,-213.1734566,-212.8971941
46,-279.1957564,-210.959937,-216.681762
47,-284.8984236,-212.7924532,-214.9011828
48,-282.7667982,-216.0179047,-215.2218556
49,-283.0482413,-213.0619207,-218.6710272
50,-280.715009,-212.6037343,-218.2032981
51,-282.4018052,-217.9574466,-217.9474176
52,-285.9952379,-219.1637194,-218.0602735
53,-282.5243194,-225.1730209,-220.0757325
54,-281.3295702,-226.4958091,-219.4019614
55,-279.6376574,-227.634858,-224.2845684
56,-279.0239201,-228.0706885,-222.8227447
57,-283.8950102,-229.5553395,-228.1287873
58,-280.9327072,-229.2540117,-226.3955357
59,-280.103292,-234.6369024,-229.0049
60,-279.9543262,-233.7666064,-227.2039011
61,-277.4506345,-238.1636811,-225.5438861
62,-281.0803419,-241.291148,-227.298946
63,-279.2159906,-239.4732848,-225.0345037
64,-278.3600693,-237.3299514,-224.0918013
