,1,37,42
0,-604.8570233978255,-545.6409773606379,-611.6772458635337
1,-525.1027974605915,-482.3024559752268,-475.06021211530657
2,-661.8397399379355,-502.9159225156491,-455.5226567431996
3,-629.9090566582202,-569.1643483495282,-432.5616403427647
4,-602.7566116872777,-594.7663093076151,-487.3279479937602
5,-629.7615505095202,-646.5264030263469,-494.4417088709758
6,-676.0542154995755,-649.742124430403,-519.7762381302717
7,-653.720855259272,-663.627721498053,-553.2212363890526
8,-630.7226896594328,-637.2556513852761,-573.0756188602415
9,-630.2721389199237,-626.541216180612,-565.7391238446386
10,-631.7370355263913,-632.1552563121096,-574.1571443530988
11,-647.0912986651023,-637.3595081709284,-577.8024259486613
12,-659.6701567784881,-653.2886522985435,-576.2024296309294
13,-682.6175042343746,-666.8245786979776,-574.2233085325006
14,-691.7968117648209,-680.5624584547402,-567.4471368370109
15,-681.0447010635759,-678.529811590851,-579.4474074008443
16,-688.2134344149661,-668.7410126918966,-606.2061839515417
17,-688.04543899714,-654.8711534428471,-603.610639964949
18,-707.4148207387788,-663.944960412418,-617.2661417979441
19,-696.3112886690503,-662.7916292913509,-637.1194069735388
20,-706.5728881103264,-673.3580925168818,-651.31064365369
21,-688.1344506782481,-670.6202692974315,-654.3267115300137
22,-679.3994772677966,-666.3304907370415,-661.2767766814695
23,-677.580460607445,-679.6342542662723,-659.94488019987
24,-671.4834314109385,-666.4985356490456,-661.5576946507301
25,-670.0134805743353,-665.964065895325,-654.3305943297156
26,-669.8091410450869,-662.6662484657529,-656.2850017686359
27,-668.2606467529356,-679.7411155931826,-655.4243676394333
28,-661.2842310246577,-670.6439250875897,-649.8103989649378
29,-658.1442320075731,-666.3999665183709,-652.5151677188492
30,-656.0051499039234,-664.4285482282631,-658.3735300425069
31,-651.4544566486526,-663.0838740469721,-662.4635708287249
32,-647.565949253638,-662.8832235184157,-657.8708957798801
33,-646.908791331736,-663.8890020570814,-654.8866323364402
34,-642.8916910804073,-662.1972592902756,-656.431655649939
35,-636.7876041238886,-662.062295221936,-652.2773125278752
36,-632.9252940097308,-657.5290920455186,-644.1959634690121
37,-632.8074756651132,-659.411565352105,-636.5625016753708
38,-633.7193198374098,-663.7410149644903,-632.7945103550827
39,-640.2830786538624,-660.6198852360819,-632.482384056522
40,-647.3396344779542,-654.6141883240746,-632.4361602080412
41,-649.1217165836109,-653.8802522619758,-628.5384620347077
42,-650.390624810202,-653.2606468598925,-618.9749733125859
43,-650.7150264242508,-660.416259404425,-617.433902222503
44,-653.6611541723039,-657.3434081332375,-613.6119457253947
45,-656.4048857789087,-659.0616141402259,-612.6547530220706
46,-652.6714752743983,-664.4415299013212,-614.8622820311331
47,-653.6434364538444,-664.8710421868502,-614.0919195879665
48,-653.8662515009886,-665.4331287766263,-614.6470544849083
49,-652.2021050922754,-663.9759322953547,-622.6669036092321
50,-656.5641769004457,-662.1673636605325,-621.6633837677628
51,-653.8586260196269,-659.3917245416335,-622.4661519875397
52,-650.2664158876718,-659.1879587650203,-631.0722921320881
53,-655.1864833731786,-659.4266302262894,-626.1947288712266
54,-651.3034605832914,-653.772345972207,-626.8281295792785
55,-649.7990872592251,-653.85619497012,-628.4543164923449
56,-646.2602604191018,-653.124304171008,-629.0723143913854
57,-650.9234977073828,-649.4189972842815,-629.7299096790481
58,-651.2838833428445,-651.2774150567485,-627.1336877516966
59,-650.5692835914089,-649.7512776151476,-630.502743848264
60,-650.1528579886415,-651.0093951050711,-630.4199573478669
61,-651.3613764760315,-651.5736129153678,-626.7636191615032
62,-651.5599172718371,-649.4416756780753,-623.5627985828488
63,-654.3467791425389,-644.7484576190977,-623.8175272480859
64,-652.7764903753618,-646.0376637019465,-627.0204639031175
65,-650.4973187688147,-646.5250955402881,-624.8548485772187
66,-649.0856425109395,-644.277373982094,-624.1174060497406
67,-648.9499685229878,-644.6826421019921,-626.5582538282225
68,-649.7052956245934,-642.1870702231547,-625.0149609437224
69,-652.3902978950755,-639.6554953495598,-629.2647907854592
70,-649.581557659887,-638.6791817416879,-624.8324951247267
71,-648.9289861841106,-638.1330134046967,-630.284323921289
72,-650.7205071857078,-638.7081201081076,-625.7307152363767
73,-651.9203940693191,-642.4101375016893,-629.6350546594308
74,-651.4765430818045,-643.5369296992062,-628.3991737298522
75,-650.9265136742582,-641.7874548170699,-627.9510155411778
76,-646.0781320213341,-640.5194685307428,-624.0598307633609
77,-647.1404636389498,-639.309402117632,-626.3370367306724
78,-648.7318023024033,-640.5717651480315,-627.6289042183721
79,-653.3526872659222,-638.2720128584157,-626.5087774133883
80,-655.2835183748806,-641.0695776203098,-632.9064150238426
81,-655.8804990812245,-642.4357170564211,-633.1312616932995
82,-656.8741257768648,-640.547123940396,-632.4161906937263
83,-654.9818704134286,-640.4870967928101,-630.5513957270721
84,-652.1776643750541,-645.2322111203922,-630.055569057727
85,-650.1856310912458,-643.1278704450775,-629.6039113728159
86,-648.9710083169338,-644.3837074962308,-632.2973562168213
87,-649.8024810639458,-648.5423874720578,-632.3935115973308
88,-648.7396341318625,-648.3890314593569,-631.6322302202451
89,-650.2084291778336,-650.8974122576401,-632.206385092533
90,-649.5963993424892,-648.4819382978837,-632.7206664605671
91,-647.0271413215195,-647.7727307082597,-637.1650585862252
92,-645.6174422953217,-649.8147900376871,-637.0527866512301
93,-642.2388291380404,-649.2199852141246,-635.6033492897748
94,-642.7388091058358,-647.8501999312026,-635.91096722115
95,-644.6477337503679,-648.9255661885219,-634.470429561413
96,-647.42998327244,-648.3824918429268,-634.9221696600868
97,-648.1208576775236,-649.579841954231,-638.5267009529574
98,-647.2249032115665,-647.8308475165255,-638.9277199835867
99,-645.7410085230556,-648.3280350385533,-638.7172434696101
100,-647.6556727583275,-647.366702964501,-638.2830668678956
101,-648.9866923856421,-653.1574694873096,-640.5807925057289
102,-646.2512970566211,-655.3776887366923,-648.6952253058184
103,-647.4481430450585,-653.2373317502669,-649.6454659101521
104,-648.7915879106927,-651.8542052175861,-650.5133163147485
105,-648.1999305057902,-652.8560453656074,-652.3036217291302
106,-644.5156635708994,-652.3984415697728,-652.3883265994206
107,-645.5053177705762,-653.3654025050181,-651.2967559643195
108,-650.5722847197999,-655.8626554564503,-652.7523512646444
109,-651.2800224577185,-656.6414761745557,-652.3894662766307
110,-648.7853292192492,-653.2173069446218,-655.7611988848962
111,-645.8347408976663,-654.2618652925447,-655.5359630979477
112,-643.9914837042269,-652.5573579247676,-656.2726602632412
113,-637.8617210850557,-651.4948215433327,-657.5420517368822
114,-632.9696030854313,-645.6081884346399,-661.329342256325
115,-633.2843335425921,-645.0173618271366,-661.0808570790924
116,-632.5786145974679,-646.0893815431592,-659.5550122979565
117,-631.8245888137053,-648.671988937109,-659.215237394339
118,-631.8196236780008,-651.855539246935,-654.7982652355641
119,-634.1282599125637,-650.8517302305207,-649.9317471212914
120,-629.7035793140277,-649.2158924307977,-646.6544507438493
121,-632.2205641368444,-648.1398790054311,-644.2981480994025
122,-633.6859133662645,-649.8057555479985,-641.419731611473
123,-634.632497009021,-649.4821748350919,-641.6125332418836
124,-635.6514764022708,-651.9855282161753,-638.4669260519296
125,-635.1013942985691,-652.2480587479496,-640.1743906763801
126,-632.5488745696958,-655.5340435879066,-642.6702947824945
127,-631.8597513934087,-648.2227672848883,-643.4401689706108
128,-633.9830565444706,-654.1417547905859,-647.6000885496394
129,-634.1895059147985,-655.9799109207167,-644.3878606430576
130,-635.499181409579,-655.9600433253718,-641.0715458961203
131,-635.7158690552579,-656.6652800304321,-640.642648261064
132,-638.5750191762477,-659.211297127384,-643.8650380117289
133,-638.6867245569927,-657.5123405124524,-645.1986626930207
134,-639.859250773068,-655.508881249446,-644.732283231501
135,-642.5672790594509,-654.5720386990416,-645.2583286937552
136,-641.6096518537145,-657.8156181875268,-646.8496182903517
137,-640.6695230453523,-656.0613712227699,-647.9563373537796
138,-638.7888900025324,-654.5843589584047,-650.1770626523734
139,-640.6444063873113,-655.132391813879,-651.7373337447775
140,-638.7397264724526,-658.1326135183724,-656.7935010926532
141,-637.5925898536578,-654.9437084987931,-658.1248912040523
142,-636.7070386633422,-655.0696402317723,-661.6099937719863
143,-640.6692504668755,-650.53357098643,-663.6285018203131
144,-641.6189913743613,-651.0331598068884,-666.6947848377115
145,-640.5407583820083,-650.3909276009016,-669.7604169273209
146,-645.6596788725452,-648.3089211246164,-668.6480290770878
147,-644.3748245120146,-647.1148372490693,-671.3147512960672
148,-644.5277125388393,-647.2340337784027,-671.3732272883893
149,-645.161089528302,-645.4984678224739,-668.0314176823034
150,-643.3994797606096,-646.957529258963,-672.1015416966272
151,-641.9995747220783,-645.562366467631,-670.9814973638005
152,-640.9257793309343,-643.0013085313618,-665.6884593368618
153,-635.400007509317,-641.8335083318138,-668.3745080948072
154,-634.792246570774,-645.0477882210122,-670.7409135494499
155,-638.4060854212843,-643.9489173136493,-672.247483961296
156,-638.6554459154844,-643.1729476226635,-671.5682813917726
157,-636.9013052129563,-645.3165132049062,-671.3568693499645
158,-636.9101712437879,-642.9809376212598,-672.0084394652846
159,-636.1245789991235,-642.7052419370947,-668.2120236359957
160,-639.5002016243453,-643.2853659640851,-666.5824242503026
161,-638.9059135625927,-642.469250975423,-669.3245230895009
162,-642.7311231568185,-647.7855152302003,-669.4466929574071
163,-638.8016174559474,-649.3491169752479,-670.8903416267436
